fiscalYear,code,codeDotted,billable,previousLongTitle,newLongTitle,previousShortTitle,newShortTitle
2018,S62625P,S62.625P,true,"Displaced fracture of medial phalanx of left ring finger, subsequent encounter for fracture with malunion","Displaced fracture of middle phalanx of left ring finger, subsequent encounter for fracture with malunion","Disp fx of med phalanx of l rng fngr, subs for fx w malunion","Disp fx of middle phalanx of left ring finger, 7thP"
2018,S62625S,S62.625S,true,"Displaced fracture of medial phalanx of left ring finger, sequela","Displaced fracture of middle phalanx of left ring finger, sequela","Disp fx of medial phalanx of left ring finger, sequela","Disp fx of middle phalanx of left ring finger, sequela"
2018,S6265,S62.65,false,Nondisplaced fracture of medial phalanx of finger,Nondisplaced fracture of middle phalanx of finger,Nondisplaced fracture of medial phalanx of finger,Nondisplaced fracture of middle phalanx of finger
2018,S62650,S62.650,false,Nondisplaced fracture of medial phalanx of right index finger,Nondisplaced fracture of middle phalanx of right index finger,Nondisp fx of medial phalanx of right index finger,Nondisp fx of middle phalanx of right index finger
2018,S62650A,S62.650A,true,"Nondisplaced fracture of medial phalanx of right index finger, initial encounter for closed fracture","Nondisplaced fracture of middle phalanx of right index finger, initial encounter for closed fracture","Nondisp fx of medial phalanx of right index finger, init","Nondisp fx of middle phalanx of right index finger, init"
2018,S62650B,S62.650B,true,"Nondisplaced fracture of medial phalanx of right index finger, initial encounter for open fracture","Nondisplaced fracture of middle phalanx of right index finger, initial encounter for open fracture","Nondisp fx of medial phalanx of r idx fngr, init for opn fx","Nondisp fx of middle phalanx of right index finger, 7thB"
2018,S62650D,S62.650D,true,"Nondisplaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with routine healing","Nondisplaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with routine healing","Nondisp fx of med phalanx of r idx fngr, 7thD","Nondisp fx of middle phalanx of right index finger, 7thD"
2018,S62650G,S62.650G,true,"Nondisplaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with delayed healing","Nondisplaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with delayed healing","Nondisp fx of med phalanx of r idx fngr, 7thG","Nondisp fx of middle phalanx of right index finger, 7thG"
2018,S62650K,S62.650K,true,"Nondisplaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with nonunion","Nondisplaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with nonunion","Nondisp fx of med phalanx of r idx fngr, 7thK","Nondisp fx of middle phalanx of right index finger, 7thK"
2018,S62650P,S62.650P,true,"Nondisplaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with malunion","Nondisplaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with malunion","Nondisp fx of med phalanx of r idx fngr, 7thP","Nondisp fx of middle phalanx of right index finger, 7thP"
2018,S62650S,S62.650S,true,"Nondisplaced fracture of medial phalanx of right index finger, sequela","Nondisplaced fracture of middle phalanx of right index finger, sequela","Nondisp fx of medial phalanx of right index finger, sequela","Nondisp fx of middle phalanx of right index finger, sequela"
2018,S62651,S62.651,false,Nondisplaced fracture of medial phalanx of left index finger,Nondisplaced fracture of middle phalanx of left index finger,Nondisplaced fracture of medial phalanx of left index finger,Nondisplaced fracture of middle phalanx of left index finger
2018,S62651A,S62.651A,true,"Nondisplaced fracture of medial phalanx of left index finger, initial encounter for closed fracture","Nondisplaced fracture of middle phalanx of left index finger, initial encounter for closed fracture","Nondisp fx of medial phalanx of left index finger, init","Nondisp fx of middle phalanx of left index finger, init"
2018,S62651B,S62.651B,true,"Nondisplaced fracture of medial phalanx of left index finger, initial encounter for open fracture","Nondisplaced fracture of middle phalanx of left index finger, initial encounter for open fracture","Nondisp fx of medial phalanx of l idx fngr, init for opn fx","Nondisp fx of middle phalanx of left index finger, 7thB"
2018,S62651D,S62.651D,true,"Nondisplaced fracture of medial phalanx of left index finger, subsequent encounter for fracture with routine healing","Nondisplaced fracture of middle phalanx of left index finger, subsequent encounter for fracture with routine healing","Nondisp fx of med phalanx of l idx fngr, 7thD","Nondisp fx of middle phalanx of left index finger, 7thD"
2018,S62651G,S62.651G,true,"Nondisplaced fracture of medial phalanx of left index finger, subsequent encounter for fracture with delayed healing","Nondisplaced fracture of middle phalanx of left index finger, subsequent encounter for fracture with delayed healing","Nondisp fx of med phalanx of l idx fngr, 7thG","Nondisp fx of middle phalanx of left index finger, 7thG"
2018,S62651K,S62.651K,true,"Nondisplaced fracture of medial phalanx of left index finger, subsequent encounter for fracture with nonunion","Nondisplaced fracture of middle phalanx of left index finger, subsequent encounter for fracture with nonunion","Nondisp fx of med phalanx of l idx fngr, 7thK","Nondisp fx of middle phalanx of left index finger, 7thK"
